No;X;Y;Size [µm];Locating ch. value;Ch. 1 value;
0;118;17;105,0;15,892;13,011;
1;155;15;92,9;16,070;13,558;
2;437;17;102,8;15,616;12,832;
3;473;14;94,0;15,837;13,186;
4;842;18;104,3;15,649;12,541;
5;1333;17;104,0;16,573;13,168;
6;1368;16;94,1;16,155;13,535;
7;81;19;106,5;15,978;17,476;
8;401;19;106,1;15,816;12,865;
9;880;18;102,4;15,686;12,692;
10;1296;20;106,8;16,270;13,065;
11;805;21;105,3;15,541;12,481;
12;678;20;106,4;15,308;12,405;
13;45;22;107,9;15,935;13,232;
14;329;22;107,5;15,876;12,865;
15;365;22;102,3;15,951;12,892;
16;642;22;101,3;15,081;12,308;
17;714;22;103,4;16,222;12,800;
18;769;25;103,4;15,508;12,681;
19;293;25;104,6;15,584;12,708;
20;1258;26;108,1;16,108;17,573;
21;606;27;102,6;15,897;16,854;
22;1218;27;108,5;16,227;17,757;
23;258;28;103,6;15,681;12,919;
24;1181;28;107,7;16,157;12,962;
25;222;31;104,8;16,341;18,027;
26;982;31;102,2;15,605;12,719;
27;566;34;107,1;15,562;12,751;
28;185;34;102,6;16,935;13,562;
29;1025;37;106,9;15,822;13,043;
30;1061;36;105,5;16,103;12,957;
31;944;37;106,8;15,789;12,724;
32;1098;38;103,8;16,000;13,065;
33;1135;38;102,9;16,000;12,854;
34;528;39;102,6;16,270;12,989;
35;907;41;106,3;15,589;12,681;
36;493;44;103,7;16,038;12,865;
37;458;46;103,8;15,508;12,692;
38;139;46;106,1;15,692;17,686;
39;740;47;104,7;15,508;12,562;
40;1354;47;106,3;16,589;13,254;
41;102;49;104,9;16,173;17,935;
42;422;50;104,8;15,865;17,638;
43;862;49;101,3;16,362;13,119;
44;825;52;106,9;15,605;17,043;
45;1317;50;105,8;16,373;13,189;
46;66;53;104,8;15,611;13,114;
47;386;52;105,9;15,719;12,789;
48;1281;53;106,4;16,135;17,714;
49;662;53;99,8;14,816;12,368;
50;697;53;98,8;19,962;13,389;
51;30;56;106,0;15,832;13,184;
52;350;55;104,7;15,562;17,049;
53;314;56;103,0;15,492;16,843;
54;625;56;105,6;15,249;16,486;
55;278;58;105,0;15,719;12,897;
56;789;57;98,6;15,605;12,616;
57;1237;58;101,0;15,984;17,562;
58;1163;60;106,2;15,751;12,886;
59;1201;59;105,3;15,968;12,968;
60;242;61;104,9;15,481;12,822;
61;589;61;105,7;15,476;12,605;
62;206;64;104,2;15,514;12,865;
63;967;65;100,7;15,492;17,249;
64;169;65;105,2;17,351;13,292;
65;1004;65;102,5;15,897;12,859;
66;552;67;105,4;15,632;12,681;
67;1042;68;105,3;15,822;12,778;
68;1079;68;106,1;15,951;12,886;
69;1118;70;104,9;16,141;12,989;
70;889;72;103,9;15,519;12,605;
71;928;71;103,9;15,535;16,968;
72;516;73;104,5;15,838;17,368;
73;481;77;103,3;15,362;12,762;
74;123;79;104,7;15,935;13,222;
75;445;80;104,3;15,162;16,897;
76;1370;79;84,9;16,295;13,837;
77;723;80;104,0;15,486;17,011;
78;847;81;104,6;15,384;12,492;
79;760;81;94,8;16,047;13,047;
80;1335;81;104,1;16,416;13,141;
81;87;82;105,2;16,481;13,514;
82;409;83;103,5;15,497;12,692;
83;373;85;105,3;15,692;12,789;
84;1297;85;104,7;16,146;12,908;
85;51;85;102,4;16,254;13,243;
86;812;85;100,9;16,346;12,951;
87;1260;85;105,5;16,130;17,254;
88;16;89;104,3;15,859;13,200;
89;647;86;96,2;15,667;13,093;
90;302;89;104,6;15,811;13,000;
91;338;89;102,8;15,638;12,876;
92;611;89;104,4;15,741;12,854;
93;1183;91;108,1;15,827;12,914;
94;1220;90;107,2;16,092;13,076;
95;266;92;105,3;15,622;17,135;
96;1146;92;107,9;15,476;12,670;
97;190;95;104,5;15,416;17,395;
98;230;95;104,6;15,589;12,935;
99;575;95;106,0;15,551;12,789;
100;984;96;105,2;15,881;12,789;
101;153;97;106,7;15,935;12,978;
102;690;95;93,0;16,194;13,023;
103;1021;97;104,3;15,930;12,768;
104;1058;101;102,8;15,454;12,654;
105;1094;100;104,9;15,422;17,146;
106;538;102;104,8;15,465;12,843;
107;912;103;105,9;15,784;17,259;
108;948;102;97,5;16,643;13,302;
109;872;107;108,5;15,589;12,773;
110;503;107;106,1;15,849;12,762;
111;467;110;104,6;15,805;12,800;
112;108;111;104,6;16,292;13,297;
113;431;112;104,0;15,984;12,838;
114;791;113;94,4;16,310;13,349;
115;1318;114;105,5;17,259;13,768;
116;72;115;102,8;15,978;13,259;
117;835;114;107,1;15,638;12,595;
118;1278;116;107,1;16,281;13,130;
119;396;116;101,4;16,346;13,108;
120;755;117;105,6;15,692;12,843;
121;36;118;106,9;16,319;18,308;
122;719;117;107,5;15,930;12,670;
123;1242;118;104,6;16,243;17,778;
124;361;119;104,0;15,649;12,914;
125;661;118;97,5;16,008;13,132;
126;1124;120;103,2;15,719;12,903;
127;325;123;104,9;15,865;17,843;
128;1203;121;102,8;16,038;13,059;
129;289;123;104,6;15,654;17,432;
130;1166;123;106,3;15,816;12,995;
131;601;124;104,3;15,638;17,065;
132;210;124;105,0;15,897;13,130;
133;253;126;98,7;15,481;12,876;
134;174;127;102,3;15,784;13,000;
135;138;130;103,5;15,989;13,319;
136;565;130;105,1;15,573;12,611;
137;971;130;106,9;15,578;16,973;
138;1008;130;104,6;16,000;12,919;
139;1043;133;104,9;16,524;13,189;
140;1079;133;107,4;15,562;12,681;
141;930;134;105,6;15,741;12,616;
142;528;136;106,2;15,681;12,681;
143;894;136;105,7;15,811;12,843;
144;488;140;101,3;15,719;17,319;
145;858;142;106,7;15,584;12,654;
146;451;143;104,8;15,676;12,757;
147;812;142;107,0;15,632;12,708;
148;1370;143;84,6;16,605;13,969;
149;94;144;103,3;15,811;13,178;
150;415;145;106,1;15,870;12,849;
151;696;145;90,1;16,016;13,116;
152;1335;144;102,3;16,459;13,438;
153;776;146;107,3;15,919;12,746;
154;1299;146;104,4;16,184;13,227;
155;1262;148;108,5;16,076;13,070;
